코드,lat,lon
1156068000,37.49916,126.91354
1156069000,37.5058,126.9198
1156070000,37.49377,126.90526
1156071000,37.48963,126.90064
1156072000,37.49987,126.89727
1156051500,37.51372,126.9097
1156053500,37.52152,126.90784
1156058500,37.50928,126.90124
1156060500,37.51638,126.89147
1159052000,37.51082,126.93805
1159053000,37.49833,126.95347
1159054000,37.50367,126.94206
1159055000,37.49723,126.93335
1159056000,37.49743,126.94076
1159062000,37.47972,126.97741
1159064000,37.48881,126.97086
1159065000,37.48059,126.97077
1159065100,37.4858,126.96504
1159066000,37.50711,126.92803
1159067000,37.48995,126.91071
1159068000,37.49431,126.92153
1159060500,37.50534,126.96244
1159051000,37.51234,126.94928
1159063000,37.49702,126.97494
1162052500,37.49036,126.93259
1162054500,37.48941,126.95957
1162057500,37.4809,126.96062
1162058500,37.46723,126.96005
1162061500,37.48412,126.95062
1162062500,37.47208,126.96662
1162063000,37.46247,126.97664
1162064500,37.4806,126.93344
1162065500,37.4793,126.9267
1162066500,37.47355,126.93921
1162068500,37.48563,126.91875
1162069500,37.4869,126.92761
1162071500,37.46159,126.91827
1162072500,37.48294,126.90752
1162073500,37.45321,126.9484
1162060500,37.48682,126.94221
1162056500,37.48951,126.95117
1162059500,37.47805,126.94588
1162077500,37.4705,126.92105
1162074500,37.46067,126.93014
1162076500,37.47594,126.91543
1165051000,37.48696,127.02014
1165052000,37.48882,127.02791
1165053000,37.48543,127.00959
1165053100,37.49899,127.01996
1165054000,37.51764,127.01304
1165055000,37.50439,126.9877
1165056000,37.50551,127.01663
1165057000,37.50613,126.9959
1165058000,37.51241,127.00359
1165058100,37.49958,127.00329
1165059000,37.49495,126.98777
1165060000,37.48491,126.9963
1165061000,37.47302,126.98849
1165062000,37.47432,126.9979
1165062100,37.48982,126.99099
1165065100,37.46956,127.02253
1165065200,37.45115,127.0459
1165066000,37.45652,127.07055
1168051000,37.52572,127.0214
1168052100,37.51191,127.0265
1168053100,37.51521,127.03622
1168058000,37.5154,127.06063
1168059000,37.51184,127.04876
1168060000,37.49339,127.05897
1168063000,37.50166,127.0549
1168064000,37.50089,127.03549
1168065000,37.4985,127.04489
1168065500,37.48905,127.04098
1168065600,37.48821,127.04965
1168066000,37.47928,127.06471
1168069000,37.47555,127.05324
1168072000,37.48237,127.08467
1168073000,37.49339,127.08925
1168067500,37.49547,127.07932
1168075000,37.48684,127.10057
1168070000,37.47107,127.10435
1168054500,37.52967,127.03439
1168056500,37.52461,127.05048
1168061000,37.50058,127.06642
1168067000,37.48648,127.06764
1171051000,37.53824,127.1143
1171052000,37.52985,127.11013
1171053100,37.49439,127.14168
1171053200,37.49237,127.14717
1171054000,37.49478,127.15573
1171055000,37.50033,127.15146
1171056100,37.50977,127.12231
1171056200,37.51325,127.11383
1171056600,37.51766,127.12851
1171057000,37.50399,127.1344
1171058000,37.50717,127.11032
1171059000,37.50284,127.11683
1171060000,37.50272,127.10246
1171061000,37.50172,127.09191
1171062000,37.49722,127.12164
1171063100,37.49533,127.10823
1171063200,37.49586,127.13064
1171064100,37.48817,127.12686
1171064200,37.48069,127.11914
1171065000,37.50551,127.08229
1171069000,37.52125,127.10815
1171071000,37.51907,127.09998
1171072000,37.50748,127.0741
1171067000,37.51772,127.07882
1171068000,37.51364,127.09432
1171064600,37.48279,127.13163
1171064700,37.48166,127.14124
1174052600,37.55196,127.17732
1174052500,37.55074,127.16484
1174053000,37.55037,127.14594
1174054000,37.54829,127.1542
1174055000,37.56165,127.15095
1174056000,37.56518,127.16287
1174058000,37.55738,127.12324
1174059000,37.56124,127.13857
1174060000,37.54632,127.13858
1174062000,37.53965,127.13319
1174064000,37.52876,127.12552
1174065000,37.53436,127.12774
1174066000,37.5284,127.1338
1174069000,37.52315,127.14044
1174070000,37.53151,127.14741
1174057000,37.55185,127.13459
1174061000,37.54469,127.12228
1174068500,37.53973,127.14591
2611051000,35.10506,129.03845
2611052000,35.10447,129.0343
2611053000,35.10527,129.03107
2611054500,35.10642,129.02518
2611056000,35.10122,129.02521
2611057000,35.10039,129.03107
2611058000,35.09758,129.03004
2611059000,35.11189,129.03527
2611060000,35.11257,129.03049
2614051000,35.11001,129.02205
2614052000,35.11354,129.02337
2614053000,35.12254,129.02145
2614054000,35.10903,129.0125
2614056000,35.11438,129.00794
2614057000,35.12747,129.01043
2614059000,35.1047,129.01791
2614061500,35.1006,129.01311
2614063000,35.09483,129.01749
2614064000,35.09743,129.02282
2614065000,35.0902,129.02093
2614068000,35.06998,129.01442
2614066000,35.08497,129.02124
2617051000,35.11483,129.03708
2617052000,35.11793,129.03555
2617053000,35.11999,129.04502
2617055000,35.12381,129.03056
2617056000,35.12492,129.04077
2617057000,35.1321,129.03929
2617059000,35.13031,129.0338
2617060000,35.13627,129.04186
2617066000,35.13604,129.06167
2617065000,35.14122,129.04798
2617068000,35.12685,129.05726
2617064500,35.13418,129.05061
2620053000,35.08919,129.03695
2620054000,35.08922,129.04323
2620055000,35.07962,129.04715
2620059000,35.09438,129.04322
2620063000,35.09577,129.05664
2620064000,35.08971,129.06334
2620065000,35.07512,129.06739
2620066000,35.06415,129.0833
2620067000,35.08406,129.06831
2620058500,35.08487,129.04888
2620060500,35.09316,129.05113
2623052000,35.15465,129.05727
2623054000,35.17159,129.05362
2623055000,35.18567,129.04067
2623056000,35.17254,129.06657
2623057000,35.17258,129.07558
2623061000,35.16234,129.06991
2623064000,35.16459,129.04904
2623066000,35.17512,129.03373
2623068000,35.1591,129.04207
2623070000,35.17068,129.02996
2623072000,35.14606,129.02684
2623074000,35.15155,129.02173
2623075000,35.14211,129.0186
2623076000,35.16017,129.02172
2623067000,35.16882,129.02375
2623071000,35.14701,129.03518
2623051000,35.16397,129.05935
2623060000,35.15445,129.07176
2626051000,35.19767,129.08899
2626052000,35.20556,129.09025
2626055000,35.22081,129.07414
2626056000,35.21385,129.06555
2626057000,35.20611,129.064
2626058000,35.19879,129.06267
2626059000,35.19868,129.05336
2626060000,35.19885,129.07128
2626074000,35.19878,129.09897
2626075000,35.19426,129.10962
2626076100,35.20457,129.10672
2626076200,35.20934,129.09829
2626054500,35.21092,129.08497
2629053000,35.14554,129.09611
2629054000,35.12764,129.09112
2629055000,35.14145,129.08963
2629056000,35.13833,129.08204
2629057000,35.12574,129.10974
2629058000,35.10819,129.11913
2629059000,35.12208,129.11915
2629060000,35.10696,129.10716
2629061000,35.11344,129.09742
2629062000,35.11177,129.0787
2629063000,35.12142,129.08456
2629068000,35.14642,129.07669
2629069000,35.14422,129.06662
2629070000,35.13878,129.07354
2629071000,35.13293,129.07066
2629051000,35.13267,129.0887
2629064500,35.12606,129.07583
2632051000,35.20622,129.00514
2632052000,35.19931,128.99695
2632052100,35.1952,129.0139
2632053000,35.26294,129.0242
2632054100,35.23077,129.02821
2632055000,35.21667,129.01753
2632056000,35.21539,129.00428
2632056100,35.20678,129.01871
2632057100,35.22074,129.04123
2632057200,35.20515,129.03861
2632057300,35.20505,129.02693
2632054200,35.24649,129.03266
2632054300,35.23248,129.0052
2635051000,35.17717,129.15487
2635052000,35.17202,129.13798
2635053000,35.16381,129.16956
2635054000,35.16086,129.18397
2635056000,35.18513,129.1976
2635058000,35.19549,129.13504
2635059000,35.20044,129.14152
2635062000,35.23522,129.15189
2635065000,35.18277,129.12757
2635066000,35.19059,129.13184
2635055100,35.17377,129.17613
2635055200,35.16985,129.18446
2635055300,35.17317,129.16747
2635055400,35.18976,129.17297
2635057000,35.20687,129.13039
2635059500,35.20814,129.11561
2635061000,35.22072,129.14367
2638051000,35.09904,128.98958
2638052000,35.10577,129.00307
2638053000,35.10528,128.99622
2638054000,35.10028,128.9835
2638055000,35.11201,128.98362
2638056100,35.09567,128.94477
2638056200,35.1143,128.95759
2638057100,35.09051,128.97526
2638057200,35.09046,128.96041
2638058000,35.07691,128.96312
2638059000,35.0754,128.97567
2638060100,35.05495,128.96581
2638060200,35.06045,128.98469
2638061000,35.07344,128.99028
2638062000,35.08737,129.00258
2638063000,35.09375,129.00877
2641051000,35.2178,129.09786
2641052000,35.21283,129.10457
2641055500,35.23326,129.1238
2641057000,35.22432,129.09585
2641058000,35.23068,129.09582
2641059000,35.24661,129.11447
2641059100,35.21918,129.09101
2641060000,35.24117,129.07593
2641063500,35.2815,129.1115
2641066500,35.28559,129.07894
2641067000,35.26694,129.07872
2641068000,35.24922,129.09217
2641069000,35.25512,129.08109
2641070000,35.25487,129.05402
2641053000,35.22071,129.10485
2644051000,35.21053,128.96746
2644052000,35.15869,128.94208
2644053000,35.18048,128.91895
2644053500,35.11066,128.91486
2644055000,35.18472,128.8948
2644059000,35.0811,128.87812
2644058000,35.04187,128.82776
2647061000,35.19381,129.07755
2647062000,35.18871,129.06014
2647063000,35.18245,129.07172
2647064000,35.18146,129.06557
2647065000,35.18855,129.08975
2647066000,35.17245,129.08127
2647067000,35.16765,129.09102
2647068000,35.18425,129.08652
2647069000,35.18379,129.078
2647070000,35.17218,129.08851
2647072000,35.18654,129.09706
2647073000,35.18404,129.10688
2650066000,35.14371,129.10935
2650067000,35.14335,129.11427
2650073000,35.17041,129.1177
2650074000,35.17147,129.10082
2650075000,35.17745,129.11518
2650076000,35.16254,129.10991
2650077000,35.15448,129.11553
2650078000,35.16782,129.11058
2650079000,35.15594,129.10535
2650080000,35.15951,129.12591
2653058000,35.1722,128.97104
2653059100,35.18806,128.98993
2653059300,35.18312,129.00765
2653060000,35.16966,128.98711
2653061000,35.17637,128.98897
2653062000,35.16622,128.99327
2653065000,35.15564,129.00022
2653066000,35.15198,129.01068
2653066100,35.14524,129.00132
2653067000,35.13789,128.98894
2653068000,35.12692,128.97223
2653064500,35.14921,128.97738
2671025000,35.22557,129.20896
2671025300,35.34957,129.24709
2671025600,35.33555,129.17899
2671025900,35.28763,129.22329
2671033000,35.28184,129.15457
2711054500,35.86531,128.60403
2711056500,35.86856,128.5972
2711057500,35.87088,128.58934
2711058500,35.8749,128.58252
2711059500,35.86741,128.5791
2711064000,35.86004,128.59263
2711065000,35.8642,128.58811
2711066000,35.85992,128.58595
2711067000,35.8609,128.57917
2711068000,35.8593,128.60469
2711069000,35.85776,128.59874
2711051700,35.87027,128.60742
2714051000,35.88532,128.61839
2714052000,35.87783,128.61197
2714053000,35.87979,128.62112
2714054000,35.88476,128.62831
2714054100,35.88905,128.63435
2714055500,35.87207,128.61585
2714057000,35.87261,128.62223
2714058000,35.87291,128.62965
2714059000,35.88215,128.64614
2714060000,35.87721,128.63809
2714061500,35.92854,128.68821
2714062000,35.92219,128.64227
2714064000,35.89872,128.64013
2714065500,35.89486,128.65607
2714067000,35.87808,128.665
2714068500,35.89858,128.6853
2714076000,35.97538,128.67712
2714072000,35.86558,128.69582
2714073000,35.90318,128.71399
2714074700,35.86998,128.71727
2717051000,35.86207,128.5616
2717052500,35.8652,128.57131
2717054000,35.85915,128.55071
2717055000,35.88192,128.56675
2717056500,35.87666,128.57444
2717058000,35.86993,128.57238
2717059000,35.88639,128.5683
2717060000,35.87589,128.56938
2717061000,35.88737,128.55007
2717062000,35.87622,128.56524
2717063000,35.86926,128.56563
2717064000,35.87615,128.55884
2717065000,35.86764,128.55798
2717066000,35.87227,128.55084
2717066100,35.87927,128.55001
2717067500,35.87302,128.53474
2717069500,35.88402,128.57665
2720051500,35.85153,128.60173
2720053000,35.84634,128.59815
2720054000,35.82419,128.59814
2720055000,35.83253,128.59271
2720056000,35.84298,128.57614
2720057100,35.8523,128.5896
2720058600,35.85336,128.57922
2720059000,35.84662,128.57125
2720060000,35.84482,128.58567
2720061000,35.82922,128.57042
2720064000,35.8287,128.58067
2720065000,35.84066,128.56669
2720066000,35.83139,128.56245
2723051000,35.88129,128.5852
2723052600,35.87955,128.59705
2723055000,35.89972,128.58429
2723056000,35.88729,128.59604
2723057000,35.89253,128.58814
2723061000,35.89744,128.59744
2723062000,35.90659,128.60761
2723063000,35.89226,128.61022
2723063100,35.89504,128.60308
2723067100,35.89321,128.61711
2723067200,35.89876,128.62328
2723068000,35.91726,128.62234
2723069500,35.93765,128.6018
2723073500,35.91877,128.55066
2723071500,35.90494,128.53683
2723077000,35.95911,128.5436
2723075000,35.94519,128.54045
2723072500,35.92593,128.54001
2723074500,35.93234,128.56745
2723079000,35.89467,128.56947
2723078000,35.93937,128.5592
2723080000,35.96007,128.58136
2723064500,35.88304,128.60734
2726051000,35.85381,128.62704
2726052000,35.86295,128.63335
2726053000,35.86424,128.62293
2726054000,35.85384,128.6384
2726055000,35.87125,128.64919
2726056000,35.86162,128.65059
2726056100,35.85062,128.65053
2726057000,35.85492,128.61083
2726058000,35.85535,128.61737
2726059000,35.86285,128.61612
2726060100,35.84093,128.63804
2726060200,35.84516,128.62252
2726061000,35.8449,128.61204
2726062000,35.83327,128.61172
2726063000,35.81337,128.61294
2726064000,35.82904,128.62086
2726065100,35.83014,128.63804
2726065200,35.81845,128.63187
2726066100,35.81028,128.66044
2726066200,35.81038,128.64376
2726067000,35.81158,128.69932
2726068000,35.83859,128.67723
2726069000,35.84918,128.71399
2729055000,35.85163,128.55497
2729059000,35.83995,128.53836
2729055500,35.84799,128.53982
2729056300,35.85458,128.53864
2729056800,35.84277,128.51969
2729057600,35.85692,128.51135
2729058500,35.84863,128.48529
2729060200,35.82734,128.50294
2729062400,35.81959,128.54105
2729062500,35.813,128.53858
2729062600,35.81257,128.56314
2729062800,35.79542,128.55817
2729063000,35.82393,128.55824
2729064000,35.83094,128.54815
2729065000,35.83382,128.5397
2729057100,35.85563,128.52846
2729057200,35.86,128.51991
2729057700,35.8506,128.50364
2729051500,35.84464,128.5566
2729053500,35.85658,128.56741
2771025000,35.78647,128.51148
2771025300,35.75176,128.43455
2771025600,35.872,128.46602
2771031000,35.75835,128.61988
2771033000,35.89802,128.43041
2771026200,35.76861,128.47862
2771026500,35.68786,128.42588
2771025900,35.68369,128.48811
2771038000,35.65715,128.40254
2811052000,37.45177,126.60879
2811053000,37.46729,126.62321
2811054000,37.44409,126.627
2811056000,37.46722,126.63977
2811057000,37.47008,126.63496
2811058500,37.47527,126.62885
2811062000,37.50298,126.52756
2811063000,37.44999,126.39618
2811063800,37.46883,126.44522
2814051000,37.48638,126.62023
2814052500,37.4805,126.62994
2814053000,37.48501,126.6311
2814055500,37.47789,126.63582
2814057000,37.48817,126.6411
2814058000,37.47518,126.63878
2814059000,37.47653,126.64295
2814060500,37.47306,126.64836
2814061000,37.48176,126.65795
2814063000,37.48185,126.64838
2814064000,37.47163,126.64073
2817751000,37.46091,126.64765
2817753000,37.46236,126.65712
2817755000,37.45616,126.64346
2817756000,37.45537,126.65272
2817757000,37.44897,126.63895
2817758000,37.43851,126.65367
2817759000,37.44342,126.67035
2817760000,37.46217,126.66919
2817762000,37.46202,126.68062
2817763000,37.45535,126.67199
2817764000,37.44845,126.67159
2817765000,37.45444,126.68707
2817766000,37.46922,126.68055
2817767000,37.46102,126.69078
2817768000,37.44726,126.67785
2817769000,37.44765,126.68534
2817770000,37.44273,126.694
2817771000,37.43653,126.68532
2817752000,37.46494,126.64531
2817754000,37.45177,126.65892
2817761000,37.47351,126.66234
2818563000,37.42016,126.64983
